Entity,Code,Year,WHO region
Tajikistan,TJK,2020,Europe
Tanzania,TZA,2020,Africa
Thailand,THA,2020,South-East Asia
Togo,TGO,2020,Africa
Tonga,TON,2020,Western Pacific
Trinidad and Tobago,TTO,2020,Americas
Tunisia,TUN,2020,Eastern Mediterranean
Turkey,TUR,2020,Europe
Turkmenistan,TKM,2020,Europe
Tuvalu,TUV,2020,Western Pacific
Uganda,UGA,2020,Africa
Ukraine,UKR,2020,Europe
United Arab Emirates,ARE,2020,Eastern Mediterranean
United Kingdom,GBR,2020,Europe
United States,USA,2020,Americas
Uruguay,URY,2020,Americas
Uzbekistan,UZB,2020,Europe
Vanuatu,VUT,2020,Western Pacific
Venezuela,VEN,2020,Americas
Vietnam,VNM,2020,Western Pacific
Yemen,YEM,2020,Eastern Mediterranean
Zambia,ZMB,2020,Africa
Zimbabwe,ZWE,2020,Africa
